Number	Name	Desig	Family	CS	Class	DS	DF	Diam	HS	HB	H	GS	G	G2	AS	pF	Albedo	PF	Period	PDesc	Freq	AF	AMin	AMax	U	Pole	Bin	Notes	
0	1991 VA	1991 VA	9101	A	S*	D		0.017	L		26.21	A	0.24		A		0.20							0.40		0		N

0	1994 CJ1	1994 CJ1	9101	A	S*	C		0.156	M		21.4	A	0.24		A		0.20		30.		0.800000			0.80	2	0	B	R

0	1995 CR	1995 CR	9101	A	S*	C		0.130	M		21.8	A	0.24		A		0.20		2.66		9.022556			0.16	2+	0		

0	1995 HM	1995 HM	9101	A	S*	D		0.094	L		22.5	A	0.24		A		0.20		1.62		14.814815			2.	2	0		

0	1996 GQ	1996 GQ	9101	A	S*	C		0.071	M		23.1	A	0.24		A		0.20									0		

0	1996 VB3	1996 VB3	9101	A	S*	C		0.102	L		22.32	L	0.24		A		0.20		21.771		1.102384			0.72	3	0		T

0	1997 UR	1997 UR	9101	A	S*	C		0.068	M		23.2	A	0.24		A		0.20									0		

0	1998 BY7	1998 BY7	9101	A	S*	C		0.151	M		21.47	A	0.24		A		0.20	<	1.3		18.461538				2	0		R

0	1998 KY26	1998 KY26	9101	A	S*	L		0.024	L		25.5	A	0.24		A		0.20		0.1784		99.999999		0.12	0.3	3	0		

0	1998 WB2	1998 WB2	9101	A	S*	D		0.113	L		22.1	A	0.24		A		0.20		0.313		76.677316			0.6	3	0		

0	1999 FN19	1999 FN19	9101	A	S*	C		0.091	T		22.58	A	0.24		A		0.20		26.80		0.895522			0.16	2	0		

0	1999 NW2	1999 NW2	9101	A	S*	C		0.068	M		23.2	A	0.24		A		0.20	<	4.2		5.714286				2	0		R

0	1999 SF10	1999 SF10	9101	A	S*	D		0.047	L		24.0	A	0.24		A		0.20		0.0411		99.999999			0.58	2	0		

0	1999 SH10	1999 SH10	9101	A	S*	C		0.090	M		22.6	A	0.24		A		0.20		0.1264		99.999999			0.29	3-	0		

0	1999 TN13	1999 TN13	9101	A	S*	C		0.057	M		23.6	A	0.24		A		0.20	<	1.3		18.461538				2	0		R

0	1999 TY2	1999 TY2	9101	A	S*	D		0.071	L		23.1	A	0.24		A		0.20		0.1213		99.999999			0.68	3	0		

0	1I/'Oumuamua	A/2017 U1	9501						M		22.08	A	0.12		A		0.057		7.937		3.023813		1.8	2.5	2	0		T

0	2000 AA6	2000 AA6	9101	A	S*	C		0.113	M		22.1	A	0.24		A		0.20									0		

0	2000 AG6	2000 AG6	9101	A	S*	D		0.033	L		24.80	A	0.24		A		0.20		0.0766		99.999999			0.8	3	0		

